Timestamp,Electric Demand (Student 032 > Electric Meter) [(kWh)],Outdoor Dew Point (Student 032 > Weather Station) [(deg. F)],Outdoor Temperature (Student 032 > Weather Station) [(deg. F)],Optimal Electric Demand kWh (Student 032 > Electric Meter) [(kWh)],Predicted Electric Demand kWh (Student 032 > Electric Meter) [(kWh)]
01/24/2016 16:00:00,64.1725,1.9175,19.7375,70.89375,66.72825
01/25/2016 00:00:00,78.6045,12.875,21.1325,71.0975,74.7244125
01/25/2016 08:00:00,128.8645,29.7275,39.4925,117.78375,117.592575
01/25/2016 16:00:00,146.7865,22.505,38.8625,128.9575,142.83925
01/26/2016 00:00:00,91.1655,-5.5975,21.2675,83.0625,82.219625
01/26/2016 08:00:00,115.1445,-11.3125,14.3825,112.83125,115.8569375
01/26/2016 16:00:00,140.41,-10.2325,19.1075,128.48625,134.0214375
01/27/2016 00:00:00,79.081,-5.6425,16.925,83.7425,78.7548375
01/27/2016 08:00:00,129.293,8.465,14.63,112.19875,121.4071875
01/27/2016 16:00:00,150.11,1.13,22.5275,127.11625,133.8661625
01/28/2016 00:00:00,93.8125,-3.46,15.3725,82.2125,79.7193
01/28/2016 08:00:00,134.224,-0.085,14.585,113.6875,118.892025
01/28/2016 16:00:00,222.8475,8.3975,24.62,127.755,138.1549625
01/29/2016 00:00:00,136.1355,12.2675,18.635,77.705,80.2041125
01/29/2016 08:00:00,192.7815,18.725,29.615,115.2525,121.3512875
01/29/2016 16:00:00,217.162,13.73,40.2575,128.6675,140.9832875
01/30/2016 00:00:00,127.872,18.8825,35.15,78.5975,79.80555
01/30/2016 08:00:00,115.0795,19.715,36.005,78.15625,71.142225
01/30/2016 16:00:00,117.674,24.575,39.1325,73.74125,72.752175
01/31/2016 00:00:00,116.3405,32.99,36.14,67.09875,77.4749375
01/31/2016 08:00:00,111.6635,36.5225,39.0875,65.27875,71.9889
01/31/2016 16:00:00,110.6075,35.51,49.73,72.615,72.261925
02/01/2016 00:00:00,116.0965,32.1125,42.3725,71.45625,75.5187625
02/01/2016 08:00:00,142.395,29.525,36.2975,114.47375,116.5887375
02/01/2016 16:00:00,142.8415,28.58,31.1225,128.29,126.3401375
02/02/2016 00:00:00,86.1935,23.495,27.5225,76.9275,71.3366125
02/02/2016 08:00:00,128.363,16.6325,24.7325,114.08875,112.9731125
02/02/2016 16:00:00,150.659,20.12,31.37,127.49,138.9328125
02/03/2016 00:00:00,88.011,23.7875,27.3425,75.42125,80.4196
02/03/2016 08:00:00,128.172,26.33,28.895,112.47125,120.6049625
02/03/2016 16:00:00,137.0295,29.03,31.55,128.19625,139.191875
02/04/2016 00:00:00,84.261,21.6275,26.2175,77.12375,80.5995125
02/04/2016 08:00:00,129.873,15.5975,22.865,113.7975,120.9852125
02/04/2016 16:00:00,151.415,11.165,26.8925,127.0175,137.2513375
02/05/2016 00:00:00,88.1685,10.76,20.0975,78.50125,80.3623875
02/05/2016 08:00:00,132.904,7.475,18.275,114.1625,120.4378625
02/05/2016 16:00:00,149.9385,8.1725,28.85,126.81375,137.3807125
02/06/2016 00:00:00,94.7115,13.775,21.515,75.24875,78.8126625
02/06/2016 08:00:00,83.0235,3.9875,17.7575,75.21,72.1349125
